"Name","Team","Season","GP","TOI","GF%","SF%","FF%","CF%","xGF%","GF/60","GA/60","SF/60","SA/60","FF/60","FA/60","CF/60","CA/60","xGF/60","xGA/60","G±/60","S±/60","F±/60","C±/60","xG±/60","Sh%","Sv%"
"Ducks","ANA","19-20",71,3450.65,46.57,47.7,47.97,47.87,47.08,2.22,2.55,28.77,31.54,41.45,44.96,53.96,58.75,2.32,2.61,-0.33,-2.77,-3.51,-4.79,-0.29,7.73,91.91
"Coyotes","ARI","19-20",70,3405.93,50.08,49.72,48.57,48.6,49.61,2.24,2.24,31.12,31.47,42.56,45.07,56.02,59.24,2.33,2.36,0.01,-0.35,-2.51,-3.22,-0.04,7.21,92.9
"Bruins","BOS","19-20",70,3328.28,57.69,52.48,51.83,51.93,52.82,2.56,1.88,31.07,28.13,42.5,39.5,55.98,51.81,2.22,1.98,0.68,2.94,3,4.17,0.24,8.24,93.32
"Sabres","BUF","19-20",69,3393.5,49.11,47.9,48.37,48.81,47.54,2.29,2.37,27.93,30.38,38.75,41.36,50.16,52.62,2.05,2.26,-0.08,-2.45,-2.61,-2.45,-0.21,8.2,92.19
"Hurricanes","CAR","19-20",68,3217.15,50.97,52.96,53.66,54.42,52.37,2.63,2.53,32.38,28.75,45.33,39.15,60.05,50.29,2.76,2.51,0.1,3.62,6.18,9.76,0.25,8.12,91.2
"Blue Jackets","CBJ","19-20",70,3478.85,50.55,51.82,50.66,48.87,51.66,2.14,2.09,31.53,29.32,41.53,40.44,53.63,56.11,2.22,2.08,0.05,2.21,1.09,-2.48,0.14,6.78,92.87
"Flames","CGY","19-20",70,3429.05,47.34,48.91,49.42,49.91,50.74,2.31,2.57,30.24,31.58,43.03,44.05,57.22,57.41,2.47,2.4,-0.26,-1.35,-1.02,-0.2,0.07,7.64,91.86
"Blackhawks","CHI","19-20",70,3392.42,50.14,47.21,48.15,48.49,47.38,2.61,2.6,30.94,34.6,41.2,44.36,55.9,59.37,2.5,2.78,0.01,-3.65,-3.16,-3.47,-0.28,8.44,92.5
"Avalanche","COL","19-20",70,3321.3,59,52.45,52.54,52.97,52.29,2.96,2.06,32.78,29.72,44.3,40.02,60.63,53.82,2.38,2.17,0.9,3.06,4.28,6.8,0.21,9.02,93.08
"Stars","DAL","19-20",69,3308.37,49.69,49.47,49.11,49.15,52.7,1.96,1.99,29.27,29.89,39.8,41.24,54.2,56.07,2.42,2.17,-0.02,-0.62,-1.44,-1.88,0.25,6.71,93.35
"Red Wings","DET","19-20",71,3389.55,35.11,44.35,44.41,44.22,43.45,1.61,2.98,25.79,32.36,35.47,44.41,46.02,58.04,2,2.6,-1.37,-6.57,-8.94,-12.02,-0.6,6.25,90.79
"Oilers","EDM","19-20",71,3491.3,47.35,48.61,48.63,48.18,48.69,2.43,2.7,28.9,30.54,39.72,41.96,52.65,56.62,2.39,2.52,-0.27,-1.65,-2.24,-3.97,-0.13,8.42,91.15
"Panthers","FLA","19-20",69,3365.92,50.67,50.4,50.08,49.84,48.15,2.82,2.74,31.32,30.82,41.77,41.63,55.11,55.46,2.33,2.51,0.07,0.5,0.14,-0.35,-0.18,9,91.1
