"Name","Team","Season","GP","TOI","GF%","SF%","FF%","CF%","xGF%","GF/60","GA/60","SF/60","SA/60","FF/60","FA/60","CF/60","CA/60","xGF/60","xGA/60","G±/60","S±/60","F±/60","C±/60","xG±/60","Sh%","Sv%"
"Ducks","ANA","20-21",10,477.95,42.39,43.7,43.39,44.29,42.21,1.6,2.18,23.7,30.53,34.1,44.49,48.61,61.14,1.85,2.54,-0.58,-6.83,-10.39,-12.53,-0.68,6.77,92.86
"Coyotes","ARI","20-21",8,362.08,47.05,50.01,50.56,51.57,53.44,1.93,2.17,27.75,27.74,42.2,41.27,59.04,55.44,2.7,2.35,-0.24,0.01,0.93,3.59,0.35,6.94,92.18
"Bruins","BOS","20-21",9,420.98,49.85,59.1,55.69,56.64,57.41,1.96,1.97,31.28,21.65,42.45,33.78,56.47,43.22,2.11,1.56,-0.01,9.64,8.67,13.25,0.54,6.26,90.91
"Sabres","BUF","20-21",10,488.4,39.74,48.93,49.46,49.88,48.75,1.83,2.77,28.21,29.45,38.85,39.7,50.35,50.59,2.01,2.11,-0.94,-1.23,-0.85,-0.24,-0.1,6.48,90.59
"Hurricanes","CAR","20-21",6,279.53,47.03,60.38,58.06,58.43,55.84,1.31,1.47,33.51,21.99,47.31,34.18,62.18,44.23,2.83,2.24,-0.17,11.52,13.13,17.95,0.59,3.9,93.3
"Blue Jackets","CBJ","20-21",10,498.67,49.29,48.41,48.02,47.95,45.17,2.18,2.24,29.44,31.37,38.9,42.11,51.56,55.98,1.85,2.25,-0.06,-1.93,-3.21,-4.41,-0.4,7.41,92.85
"Flames","CGY","20-21",8,360.77,54.16,49.59,52.86,52.55,52.93,1.82,1.54,28.42,28.89,41.68,37.17,54.45,49.17,2.51,2.23,0.28,-0.47,4.51,5.28,0.28,6.4,94.67
"Blackhawks","CHI","20-21",10,477.53,42.76,48.65,48.04,48.95,50.66,1.75,2.34,29.56,31.2,37.08,40.11,50.11,52.27,2.32,2.26,-0.59,-1.64,-3.03,-2.16,0.06,5.92,92.5
"Avalanche","COL","20-21",10,445.07,53.47,54.83,55.78,57.41,54.16,2.6,2.26,30.11,24.81,43.08,34.15,60.48,44.87,2.25,1.9,0.34,5.3,8.93,15.61,0.35,8.62,90.9
"Stars","DAL","20-21",6,260.02,60,46.88,46.4,47.14,49.64,2.07,1.38,20.76,23.52,31.71,36.63,45.21,50.7,1.89,1.92,0.69,-2.76,-4.92,-5.49,-0.03,9.97,94.13
