"Name","Team","Season","GP","TOI","GF%","SF%","FF%","CF%","xGF%","GF/60","GA/60","SF/60","SA/60","FF/60","FA/60","CF/60","CA/60","xGF/60","xGA/60","G±/60","S±/60","F±/60","C±/60","xG±/60","Sh%","Sv%"
"Ducks","ANA","20-21",11,533.08,44.88,47.47,47.25,47.52,46.73,1.68,2.06,26.15,28.93,37.29,41.64,51.77,57.17,2.12,2.42,-0.38,-2.78,-4.35,-5.4,-0.3,6.42,92.88
"Coyotes","ARI","20-21",9,407.33,44.36,49.39,50.03,50.81,52.09,1.87,2.35,27.31,27.99,40.78,40.73,57.23,55.39,2.55,2.34,-0.48,-0.68,0.05,1.83,0.2,6.85,91.62
"Bruins","BOS","20-21",10,472.53,47,58.76,55.77,56.66,56.42,1.88,2.12,31.45,22.07,42.95,34.06,57.22,43.76,2.08,1.6,-0.24,9.37,8.89,13.46,0.47,5.97,90.41
"Sabres","BUF","20-21",10,488.4,39.74,48.93,49.46,49.88,48.75,1.83,2.77,28.21,29.45,38.85,39.7,50.35,50.59,2.01,2.11,-0.94,-1.23,-0.85,-0.24,-0.1,6.48,90.59
"Hurricanes","CAR","20-21",7,334.02,51.53,59.92,58.18,58.93,57.2,1.67,1.57,34.59,23.13,47.31,34.01,63.96,44.59,2.87,2.15,0.1,11.45,13.3,19.38,0.72,4.82,93.22
"Blue Jackets","CBJ","20-21",11,547.22,47.79,47.58,47.18,47.48,44.07,2.19,2.39,28.86,31.8,38.14,42.71,50.68,56.05,1.81,2.3,-0.2,-2.94,-4.57,-5.37,-0.49,7.6,92.47
"Flames","CGY","20-21",9,408.27,53.56,49.11,51.95,52.21,53.3,1.9,1.65,28.35,29.38,41.33,38.23,54.85,50.21,2.55,2.24,0.25,-1.03,3.1,4.64,0.32,6.71,94.38
"Blackhawks","CHI","20-21",11,532.02,42,47.88,47.31,47.76,49.03,1.78,2.46,29.5,32.12,36.68,40.85,49.73,54.4,2.26,2.35,-0.68,-2.62,-4.17,-4.67,-0.09,6.04,92.34
"Avalanche","COL","20-21",11,492.77,55.84,55.31,55.93,57.9,54.73,2.58,2.04,30.42,24.57,43.12,33.98,61.28,44.57,2.21,1.83,0.54,5.84,9.14,16.72,0.38,8.48,91.7
"Stars","DAL","20-21",7,308.57,60.76,49.75,49.12,48.84,52.63,2.37,1.53,23.19,23.42,34.41,35.64,47.04,49.27,2.04,1.84,0.84,-0.23,-1.24,-2.24,0.2,10.2,93.47
"Red Wings","DET","20-21",11,518.93,36.55,42.95,43.5,44.5,43.97,1.46,2.54,22.92,30.44,30.96,40.22,42.24,52.68,1.63,2.07,-1.08,-7.52,-9.26,-10.44,-0.45,6.39,91.65
"Oilers","EDM","20-21",12,556.18,46.38,48.26,48.48,47.4,49.15,2.55,2.95,29.48,31.61,39.63,42.12,52.4,58.14,2.57,2.66,-0.4,-2.13,-2.49,-5.74,-0.09,8.65,90.67
"Panthers","FLA","20-21",6,284.65,53.36,52.36,53.87,54.24,54.41,1.88,1.64,29.48,26.82,41.87,35.85,53.4,45.05,2.34,1.96,0.24,2.66,6.02,8.35,0.38,6.36,93.89
"Kings","L.A","20-21",9,397.27,41.28,43.4,44.96,45.31,38.38,2.12,3.02,25.49,33.24,35.64,43.63,46.26,55.85,1.81,2.91,-0.9,-7.75,-7.99,-9.59,-1.1,8.33,90.91
"Wild","MIN","20-21",11,480.27,46.8,49.52,49.28,47.39,56.07,2.33,2.65,29.29,29.86,40.71,41.9,51.93,57.66,2.21,1.73,-0.32,-0.57,-1.19,-5.72,0.48,7.96,91.13
"Canadiens","MTL","20-21",10,446.3,69.01,58.3,57.22,57.67,60.77,3.74,1.68,36.14,25.85,47.41,35.45,65.61,48.17,2.78,1.8,2.06,10.3,11.96,17.45,0.99,10.36,93.5
"Devils","N.J","20-21",9,430.82,62.26,51.85,51.33,52.41,51.2,2.52,1.53,30.51,28.33,41.61,39.45,54.53,49.52,2.64,2.52,0.99,2.18,2.16,5.01,0.12,8.26,94.61
"Predators","NSH","20-21",9,410.03,50.56,50.44,51.64,49.51,50.3,1.97,1.93,28.51,28.02,39.81,37.28,51.96,52.98,1.86,1.84,0.04,0.49,2.53,-1.03,0.02,6.92,93.12
"Islanders","NYI","20-21",9,418.15,44.71,52.37,50.76,48.43,53.4,1.9,2.35,29.48,26.81,39.78,38.59,51.71,55.07,2.19,1.91,-0.45,2.67,1.19,-3.36,0.28,6.46,91.22
"Rangers","NYR","20-21",9,410.73,45.11,51.67,51.03,50.29,49.78,2.06,2.51,30.61,28.63,40.46,38.83,51.88,51.29,2.28,2.3,-0.45,1.98,1.63,0.59,-0.02,6.73,91.24
"Senators","OTT","20-21",10,441.97,33.33,47.96,48.33,46.25,47.45,2.16,4.32,30.02,32.58,41.07,43.92,53.23,61.87,2.48,2.75,-2.16,-2.55,-2.85,-8.64,-0.27,7.19,86.74
"Flyers","PHI","20-21",11,534.08,54.01,41.16,43.8,43.97,46.36,2.9,2.47,22.48,32.14,33.37,42.82,43.77,55.78,2.01,2.32,0.43,-9.66,-9.45,-12.01,-0.32,12.89,92.32
"Penguins","PIT","20-21",10,476.02,47.27,51.03,52.85,52.28,49.72,2.5,2.79,26.81,25.73,38.15,34.04,49.49,45.17,2.2,2.22,-0.29,1.08,4.11,4.32,-0.03,9.33,89.16
